Date;Class;ExpirationDate;InterestRate;MinToExpiration;YearsToExpiration;SymbolId;Strike;DeltaStrike;PutCall;Premium;Volume;Forward;AtmStrike
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw42;24.300.000;50.000;C;1.641.000;260;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3s;24.350.000;50.000;C;1.615.000;260;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3z;24.400.000;50.000;C;1.588.000;257;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3x;24.450.000;50.000;C;1.562.000;257;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3v;24.500.000;50.000;C;1.535.000;259;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3t;24.550.000;50.000;C;1.533.000;256;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3q;24.600.000;50.000;C;1.507.000;253;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3p;24.650.000;50.000;C;1.482.000;253;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3n;24.700.000;50.000;C;1.457.000;252;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3l;24.750.000;50.000;C;1.315.000;255;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3j;24.800.000;50.000;C;1.290.000;249;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3h;24.850.000;50.000;C;1.266.000;249;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3d;24.900.000;50.000;C;1.241.000;248;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3e;24.950.000;50.000;C;1.330.000;249;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3Z;25.000.000;50.000;C;1.306.000;250;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw3a;25.050.000;50.000;C;1.274.000;245;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw8C;25.100.000;50.000;C;1.223.000;244;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw8A;25.150.000;50.000;C;1.223.000;242;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw88;25.200.000;50.000;C;1.200.000;241;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw85;25.250.000;50.000;C;1.177.000;243;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw7h;25.300.000;50.000;C;1.154.000;239;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw82;25.350.000;50.000;C;1.272.000;239;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw80;25.400.000;50.000;C;1.249.000;237;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw7y;25.450.000;50.000;C;1.226.000;237;24.010.006;24.000.000
18.3.2020;SPX;17.4.2020;0.001211910523422495;43200;0.082191780821917808;01zw7w;25.500.000;50.000;C;1.204.000;239;24.010.006;24.000.000
